date,free_monthly_active_users,paid_monthly_active_users,sessions,Inflation Rate,trials,resources,library,signups,hootsuite: (United States),hubspot: (United States),sprout social: (United States)
2022-10-01,58067.416666666664,22326.833333333332,3852973,7.7,37964,210613,434623,64639,10.0,65.6,5.6
2022-11-01,97188.63333333332,29519.366666666665,3187592,7.1,24858,320077,509679,64199,9.25,60.75,5.25
2022-12-01,102737.96774193548,29925.967741935485,2843479,6.5,26109,245381,401437,63090,8.0,54.5,4.5
2023-01-01,104090.45161290324,29510.516129032258,4082166,6.4,30089,258566,430695,82169,10.2,75.6,5.4
2023-02-01,107603.46428571428,29828.714285714286,3255178,6.0,27220,285808,300683,72377,9.75,72.0,5.5
2023-03-01,109453.87096774194,30106.032258064515,3420256,5.0,29823,372715,396321,80921,10.0,68.0,5.25
2023-04-01,109917.3,30072.166666666668,4041962,4.9,28478,235262,369495,75224,9.0,69.6,5.2
2023-05-01,108269.93548387096,29937.225806451617,3204193,4.0,29676,254082,397158,78185,8.5,69.25,5.25
2023-06-01,108339.36666666668,29733.733333333337,3256314,3.0,29009,260770,347053,79726,8.75,67.75,5.0
2023-07-01,108558.64516129032,29299.548387096773,4023641,3.2,27772,261318,359864,81583,7.8,67.6,5.0
2023-08-01,106201.2258064516,28771.870967741936,3160092,3.7,28855,249522,351905,84007,7.0,67.25,5.0
2023-09-01,108456.76666666666,29100.166666666668,3308235,3.7,26688,274741,347645,79370,7.0,64.5,4.75
2023-10-01,109278.54838709676,29152.612903225807,4321879,3.2,28872,323671,423483,83774,7.6,66.4,4.4
2023-11-01,110269.96666666666,29153.8,3488453,3.1,27910,298497,425712,77303,6.75,60.0,3.75
2023-12-01,108476.93548387096,29036.8064516129,3836163,3.4,26893,260113,372445,72114,6.4,57.0,3.8
2024-01-01,109737.12903225806,28760.322580645163,3770875,3.1,35702,353662,492043,100216,7.25,75.5,4.75
2024-02-01,116201.31034482758,29326.241379310344,3941257,3.2,35563,392358,487146,99694,7.5,74.5,5.25
2024-03-01,115462.35483870968,29539.90322580645,4667550,3.5,34341,390745,521829,95311,7.2,77.6,4.8
2024-04-01,117983.0,29531.5,3781007,3.4,34617,449162,493930,94762,7.25,74.0,5.25
2024-05-01,117408.74193548386,29300.225806451617,3659181,3.3,28393,479434,416504,94262,6.25,74.25,5.0
2024-06-01,115290.36666666668,29340.933333333334,4620340,3.0,27725,657942,522399,94498,6.4,71.0,4.4
2024-07-01,114420.25806451614,29487.06451612903,3682537,2.9,29692,948243,532991,100974,6.5,75.25,4.75
2024-08-01,112915.96774193548,29744.967741935485,3696304,2.5,28320,571793,488398,101493,6.25,75.0,4.5
2024-09-01,116645.7,30515.8,5042567,2.4,28342,681622,390168,100056,6.2,73.2,4.4
2024-10-01,122250.80645161292,31175.709677419356,4017854,2.6,32711,848097,347293,116833,6.25,71.0,4.5
2024-11-01,133005.36666666667,31692.066666666666,4056489,2.7,29907,883823,259553,118876,6.25,65.5,4.5
2024-12-01,138257.96774193548,32358.8064516129,4751497,2.9,30141,821802,138467,109979,5.2,63.0,4.2
